City,Country,Latitude,Longitude,Population (Millions),Total GHG (MtCO2e),Total GHG (tCO2e/cap)
NewYork,USA,40.7128,-74.0059,18.65,196,10.5
Tokyo,Japan,35.6895,139.6917,35.53,174,4.9
Moscow,Russia,55.7558,37.6173,10.82,167,15.4
LosAngeles,USA,34.0522,-118.2437,12.22,159,13
Shanghai,China,31.2304,121.4737,12.63,148,11.7
OsakaKobe,Japan,34.6937,135.5022,11.32,122,10.8
Beijing,China,39.9042,116.4074,10.85,110,10.1
Chicago,USA,41.8781,-87.6298,8.8,106,12
Tianjin,China,39.0842,117.201,9.39,104,11.1
StPetersburg,Russia,59.9343,30.3351,5.35,83,15.4
DortmundBochum,Germany,51.5136,7.4653,6.57,76,11.6
London,UK,51.5074,-0.1278,7.61,73,9.6
Bangkok,Thailand,13.7563,100.5018,6.65,71,10.7
Miami,USA,25.7617,-80.1918,5.48,65,11.9
Philadelphia,USA,39.9526,-75.1652,5.36,60,11.1
Toronto,Canada,43.6532,-79.3832,5.16,60,11.6
Riyadh,Saudi Arabia,24.7136,46.6753,5.76,58,10.1
MexicoCity,Mexico,19.4326,-99.1332,19.24,55,2.8
BuenosAires,Argentina,-34.6037,-58.3816,13.52,52,3.8
Istanbul,Turkey,41.0082,28.9784,10,51,5.1
Paris,France,48.8566,2.3522,9.89,51,5.2
Tehran,Iran,35.6892,51.389,7.42,49,6.6
Seoul,South Korea,37.5665,126.978,9.52,39,4.1
Madrid,Spain,40.4168,-3.7038,5.17,36,6.9
Bogota,Colombia,4.711,-74.0721,7.8,30,3.8
Lagos,Nigeria,6.5244,3.3792,11.7,27,2.3
SaoPaulo,Brazil,-23.5505,-46.6333,18.61,26,1.4
Mumbai,India,19.076,72.8777,18.84,25,1.3
HongKong,China,22.3964,114.1095,7.28,25,3.4
Delhi,India,28.6139,77.209,16,24,1.5
Jakarta,Indonesia,-6.1645,106.8227,13.67,24,1.8
RiodeJaneiro,Brazil,-22.9068,-43.1729,11.62,24,2.1
Cairo,Egypt,30.0444,31.2357,11.29,23,2
BeloHorizonte,Brazil,-19.9245,-43.9352,5.45,23,4.2
Santiago,Chile,-33.4489,-70.6693,5.7,22,3.9
Wuhan,China,30.5931,114.3054,6.18,21,3.4
Lima,Peru,-12.0464,-77.0428,8.35,20,2.5
Chongqing,China,29.563,106.5516,5.06,19,3.7
Calcutta,India,22.5726,88.3639,14.57,16,1.1
Karachi,Pakistan,24.8615,67.0099,12.2,16,1.3
MetroManila,Philippines,14.6091,121.0223,10.8,16,1.5
Chennai,India,13.0827,80.2707,7.04,9,1.3
Bangalore,India,12.9716,77.5946,6.75,9,1.3
Lahore,Pakistan,31.5546,74.3572,6.57,9,1.3
Dhaka,Bangladesh,23.8103,90.4125,13.09,8,0.6
Hyderabad,India,17.385,78.4867,6.34,8,1.3
Kinshasa,Congo,-4.3871,15.97,5.89,6,1
Ahmedabad,India,23.0225,72.5714,5.34,6,1.2
HoChiMinhCity,Vietnam,10.8231,106.6297,5.1,6,1.2
